binary_id,trinary_id,amountA,amountANIS,probA,amountB,amountBNIS,probB,amountC,amountCNIS,probC,decoyDirection,catch,Castillo
1,1,11,39,65,18,64,50,10,36,60,A,0,0.198
1,2,11,39,65,18,64,50,17,61,45,B,0,-0.07
2,3,12,43,60,20,71,45,5,18,50,A,0,0.132
3,4,12,43,60,22,79,40,3,11,45,A,0,0.141
4,5,10,36,70,18,64,50,3,11,50,A,0,0.155
4,6,10,36,70,18,64,50,10,36,30,B,0,-0.155
5,7,10,36,75,18,64,50,1,4,50,A,0,-0.101
5,8,10,36,75,18,64,50,10,36,25,B,0,0.063
6,9,20,71,55,10,36,75,10,36,70,B,0,
7,10,18,64,25,3,11,75,1,4,25,-,0,
8,11,17,61,55,12,43,60,10,36,60,B,0,
9,12,20,71,75,22,79,65,17,61,55,-,0,
9,13,20,71,75,22,79,65,10,36,75,A,0,
10,14,22,79,40,3,11,25,1,4,25,-,1,
11,15,20,71,45,5,18,25,3,11,45,-,1,
12,16,3,11,75,1,4,25,1,4,50,-,1,
13,17,18,64,50,1,4,50,1,4,25,-,1,
14,18,7,25,100,3,11,45,1,4,25,-,1,
