,amount,prob,set,lottery_id
0,4.0,25.0,"6C,29B,30C",1
1,4.0,50.0,"4C,17B",2
2,4.0,75.0,"12B,20B,23B,27C,29C",3
3,11.0,20.0,"12C,17C,23C,28C",4
4,11.0,25.0,"12A,27B,28B,30B",5
5,11.0,45.0,"14B,21C,25C",6
6,11.0,75.0,"6B,18B,22C,24C,29A",7
7,16.0,20.0,"14C,17A,20C,27A",8
8,18.0,25.0,"14A,23A",9
9,18.0,50.0,"2C,16C,22B,28A",10
10,36.0,30.0,"3C,20A,22A",11
11,36.0,60.0,"1C,7C,15C",12
12,36.0,70.0,"3A,5C,10B",13
13,36.0,75.0,"4B,5A,13B,16B",14
14,39.0,60.0,"9C,25B",15
15,39.0,65.0,"1A,15A,26C",16
16,43.0,60.0,"2A,7A,9A,15B",17
17,43.0,75.0,"11B,19B,24A,26A",18
18,58.0,30.0,"13C,30A",19
19,58.0,40.0,"10C,13A,19C,21B",20
20,58.0,45.0,"11C,18C,25A",21
21,61.0,45.0,"10A,11A",22
22,61.0,55.0,"7B,26B",23
23,64.0,25.0,"6A,21A",24
24,64.0,50.0,"1B,3B,4A",25
25,71.0,45.0,"2B,16A",26
26,71.0,55.0,"5B,18A",27
27,71.0,75.0,8B,28
28,76.0,65.0,"8C,19A,24B",29
29,79.0,40.0,9B,30
30,79.0,65.0,8A,31
