,amount,prob,set,lottery_id
0,4,25,6C-29B-30C,1
1,4,50,4C-17B,2
2,4,75,12B-20B-23B-27C-29C,3
3,11,20,12C-17C-23C-28C,4
4,11,25,12A-27B-28B-30B,5
5,11,45,14B-21C-25C,6
6,11,75,6B-18B-22C-24C-29A,7
7,16,20,14C-17A-20C-27A,8
8,18,25,14A-23A,9
9,18,50,2C-16C-22B-28A,10
10,36,30,3C-20A-22A,11
11,36,60,1C-7C-15C,12
12,36,70,3A-5C-10B,13
13,36,75,4B-5A-13B-16B,14
14,39,60,9C-25B,15
15,39,65,1A-15A-26C,16
16,43,60,2A-7A-9A-15B,17
17,43,75,11B-19B-24A-26A,18
18,58,30,13C-30A,19
19,58,40,10C-13A-19C-21B,20
20,58,45,11C-18C-25A,21
21,61,45,10A-11A,22
22,61,55,7B-26B,23
23,64,25,6A-21A,24
24,64,50,1B-3B-4A,25
25,71,45,2B-16A,26
26,71,55,5B-18A,27
27,71,75,8B,28
28,76,65,8C-19A-24B,29
29,79,40,9B,30
30,79,65,8A,31
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
