binary_id,trinary_id,amountA,probA,amountB,probB,amountC,probC,catch,decoyDirection,EVA,EVB,EVC
1,1,39,65,64,50,36,60,0,A,25.35,32,21.6
2,2,43,60,71,45,18,50,0,A,25.8,31.95,9
3,3,36,70,64,50,36,30,0,-,25.2,32,10.8
4,4,64,50,36,75,4,50,0,A,32,27,2
5,5,36,75,71,55,36,70,0,A,27,39.05,25.2
6,6,64,25,11,75,4,25,0,B,16,8.25,1
7,7,43,60,61,55,36,60,0,A,25.8,33.55,21.6
8,8,79,65,71,75,76,65,0,A,51.35,53.25,49.4
9,9,43,60,79,40,39,60,0,A,25.8,31.6,23.4
10,10,61,45,36,70,58,40,0,A,27.45,25.2,23.2
11,11,61,45,43,75,58,45,0,A,27.45,32.25,26.1
12,12,11,25,4,75,11,20,0,A,2.75,3,2.2
13,13,58,40,36,75,58,30,0,A,23.2,27,17.4
14,14,18,25,11,45,16,20,0,A,4.5,4.95,3.2
15,15,39,65,43,60,36,60,0,-,25.35,25.8,21.6
16,16,71,45,36,75,18,50,0,A,31.95,27,9
17,17,16,20,4,50,11,20,0,A,3.2,2,2.2
18,18,71,55,11,75,58,45,0,A,39.05,8.25,26.1
19,19,76,65,43,75,58,40,0,-,49.4,32.25,23.2
20,20,36,30,4,75,16,20,0,A,10.8,3,3.2
21,21,64,25,58,40,11,45,0,-,16,23.2,4.95
22,22,36,30,18,50,11,75,0,-,10.8,9,8.25
23,23,18,25,4,75,11,20,0,A,4.5,3,2.2
24,24,43,75,76,65,11,75,0,A,32.25,49.4,8.25
25,25,58,45,39,60,11,45,0,A,26.1,23.4,4.95
26,26,43,75,61,55,39,65,0,A,32.25,33.55,25.35
27,27,16,20,11,25,4,75,0,-,3.2,2.75,3
28,28,18,50,11,25,11,20,1,-,9,2.75,2.2
29,29,11,75,4,25,4,75,1,-,8.25,1,3
30,30,58,30,11,25,4,25,1,-,17.4,2.75,1
