"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","triad_index","one_key","two_key","three_key","target1","target2","distractor","target1_rank","target2_rank","distractor_rank","target1_choice","target2_choice","distractor_choice","targets_diff","is_blank","actual_choice"
"true","false","[]","[]","[]","preload","0","86","0.0-0.0","01","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","1619","0.0-1.0","01","1531","<p style=""text-align: center;"">מיד מתחילים.</p>","5","scan_wait","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","3626","0.0-2.0","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","4158","0.0-3.0-0.0","01","529","
                    <p class=""options"">
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                      <span><span><img src='stimuli\FuseTeaGreen.png', width=""123.39331619537275"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                    </p>","1","trinary","","distractor","target2","target1","stimuli\Branflakesextra.png","stimuli\FuseTeaGreen.png","stimuli\Barackemaybe.png","0","5","30","88","66","20.5","5","null","distractor"
"","","","","","html-keyboard-response","4","14014","0.0-3.0-1.0","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","16449","0.0-3.0-0.1","01","2433","
                    <p class=""options"">
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                      <span><span><img src='stimuli\Tapuchips.PNG', width=""229.65328467153284"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                    </p>","2","trinary","","target2","distractor","target1","stimuli\Branflakesextra.png","stimuli\GelDeLin.png","stimuli\Tapuchips.PNG","0","9","10","88","61.5","61","9","null","distractor"
"","","","","","html-keyboard-response","6","23591","0.0-3.0-1.1","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","27593","0.0-3.0-0.2","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                    </p>","null","trinary","","target1","distractor","target2","stimuli\Sano99.png","stimuli\Zipperbigbag.png","stimuli\Barackemaybe.png","1","8","30","78.5","62","20.5","7","null",""
"","","","","","html-keyboard-response","8","33998","0.0-3.0-1.2","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","35441","0.0-3.0-0.3","01","1441","
                    <p class=""options"">
                      <span><span><img src='stimuli\Fitness_Chocolate.png', width=""300"", height=""237.33239237826393""></span></span>
                      <span><span><img src='stimuli\Wissotzky.png', width=""189.69072164948454"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                    </p>","3","trinary","","target1","distractor","target2","stimuli\Fitness_Chocolate.png","stimuli\Zipperbigbag.png","stimuli\Wissotzky.png","2","8","26","78.5","62","36","6","null","target2"
"","","","","","html-keyboard-response","10","43630","0.0-3.0-1.3","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
