success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,triad_index,one_key,two_key,three_key,target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank,actual_choice,,#SPILL!,,FALSE
TRUE,FALSE,[],[],[],preload,0,35,0.0-0.0,101,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE
,,,,,html-keyboard-response,1,19616,0.0-1.0,101,19580,"<p style=""text-align: center;"">מיד מתחילים.</p>",5,scan_wait,,,,,,,,,,,,,,,,,,FALSE,,FALSE
,,,,,html-keyboard-response,2,21624,0.0-2.0,101,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE,,TRUE
,,,,,html-keyboard-response,3,22921,0.0-3.0-0.0,101,1289,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Prince.PNG', width=""291.19638826185104"", height=""300""></span></span>
                      <span><span><img src='stimuli\Chocolatemilk.png', width=""232.8042328042328"", height=""300""></span></span>
                      <span><span><img src='stimuli\Wissotzky.png', width=""189.69072164948454"", height=""300""></span></span>
                    </p>",2,trinary,,distractor,target2,target1,stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Prince.PNG,1,10,31,15,9,0,9,0,target2,,FALSE,,FALSE
,,,,,html-keyboard-response,4,32061,0.0-3.0-1.0,101,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE,,TRUE
,,,,,html-keyboard-response,5,33689,0.0-3.0-0.1,101,1623,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Chocolatemilk.png', width=""232.8042328042328"", height=""300""></span></span>
                      <span><span><img src='stimuli\Wissotzky.png', width=""189.69072164948454"", height=""300""></span></span>
                      <span><span><img src='stimuli\Cafeelite.png', width=""250.68846815834766"", height=""300""></span></span>
                    </p>",1,trinary,,target2,target1,distractor,stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Cafeelite.png,1,10,27,15,9,0,9,0,target2,,FALSE,,FALSE
,,,,,html-keyboard-response,6,41638,0.0-3.0-1.1,101,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE,,TRUE
,,,,,html-keyboard-response,7,43308,0.0-3.0-0.2,101,1665,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Cafeelite.png', width=""250.68846815834766"", height=""300""></span></span>
                      <span><span><img src='stimuli\Colgatemaybe.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                    </p>",2,trinary,,distractor,target2,target1,stimuli\Zippersmallbag.png,stimuli\Colgatemaybe.png,stimuli\Cafeelite.png,2,9,27,13.5,10,0,7,0,target2,,FALSE,,FALSE
,,,,,html-keyboard-response,8,51992,0.0-3.0-1.2,101,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE,,TRUE
,,,,,html-keyboard-response,9,52851,0.0-3.0-0.3,101,852,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                    </p>",1,trinary,,target2,distractor,target1,stimuli\Zippersmallbag.png,stimuli\Splendid.PNG,stimuli\FuzeTea.png,2,8,23,13.5,10,3,6,0,target2,,FALSE,,FALSE
,,,,,html-keyboard-response,10,62356,0.0-3.0-1.3,101,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE,,TRUE
,,,,,html-keyboard-response,11,63368,0.0-3.0-0.4,101,1006,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Cafeelite.png', width=""250.68846815834766"", height=""300""></span></span>
                      <span><span><img src='stimuli\Milka.PNG', width=""300"", height=""153.40710541642397""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                    </p>",2,trinary,,distractor,target2,target1,stimuli\Sano99.png,stimuli\Milka.PNG,stimuli\Cafeelite.png,3,6,27,13.5,10,0,3,0,target2,,FALSE,,FALSE
,,,,,html-keyboard-response,12,72487,0.0-3.0-1.4,101,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE,,TRUE
,,,,,html-keyboard-response,13,73108,0.0-3.0-0.5,101,615,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                      <span><span><img src='stimuli\Colgatemaybe.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                    </p>",2,trinary,,target1,target2,distractor,stimuli\Zippersmallbag.png,stimuli\Colgatemaybe.png,stimuli\FuzeTea.png,2,9,23,13.5,10,3,7,0,target2,,FALSE,,FALSE
,,,,,html-keyboard-response,14,82219,0.0-3.0-1.5,101,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE,,TRUE
,,,,,html-keyboard-response,15,83198,0.0-3.0-0.6,101,971,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Milka.PNG', width=""300"", height=""153.40710541642397""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                      <span><span><img src='stimuli\Prince.PNG', width=""291.19638826185104"", height=""300""></span></span>
                    </p>",1,trinary,,target2,target1,distractor,stimuli\Sano99.png,stimuli\Milka.PNG,stimuli\Prince.PNG,3,6,31,13.5,10,0,3,0,target2,,FALSE,,FALSE
,,,,,html-keyboard-response,16,91968,0.0-3.0-1.6,101,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE,,TRUE
