success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,triad_index,one_key,two_key,three_key,target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank,actual_choice,FALSE
TRUE,FALSE,[],[],[],preload,0,38,0.0-0.0,102,,,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,1,19675,0.0-1.0,102,19637,"<p style=""text-align: center;"">מיד מתחילים.</p>",5,scan_wait,,,,,,,,,,,,,,,,,FALSE
,,,,,html-keyboard-response,2,21678,0.0-2.0,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,3,22913,0.0-3.0-0.0,102,1229,"
                    <p class=""options"">
                      <span><span><img src='stimuli\KifKef.PNG', width=""238.02905874921038"", height=""300""></span></span>
                      <span><span><img src='stimuli\ParaChocolate.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Quakermaybe.png', width=""300"", height=""300""></span></span>
                    </p>",1,trinary,,target1,distractor,target2,stimuli\KifKef.PNG,stimuli\Quakermaybe.png,stimuli\ParaChocolate.png,1,7,23,90,68.66666667,22.66666667,6,0,target1,FALSE
,,,,,html-keyboard-response,4,32133,0.0-3.0-1.0,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,5,33630,0.0-3.0-0.1,102,1491,"
                    <p class=""options"">
                      <span><span><img src='stimuli\YadMordechai.png', width=""115.67164179104476"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                    </p>",1,trinary,,target1,target2,distractor,stimuli\YadMordechai.png,stimuli\Zippersmallbag.png,stimuli\FuzeTea.png,3,8,19,83.33333333,63.33333333,30,5,0,target1,FALSE
,,,,,html-keyboard-response,6,42079,0.0-3.0-1.1,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,7,43617,0.0-3.0-0.2,102,1531,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Neviot.PNG', width=""133.2"", height=""300""></span></span>
                      <span><span><img src='stimuli\Tuna_ToGo.png', width=""244.4063143445436"", height=""300""></span></span>
                      <span><span><img src='stimuli\Chocolatemilk.png', width=""232.8042328042328"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target2,target1,stimuli\Chocolatemilk.png,stimuli\Tuna_ToGo.png,stimuli\Neviot.PNG,4,5,15,80,80,45,1,0,distractor,FALSE
,,,,,html-keyboard-response,8,52271,0.0-3.0-1.2,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,9,54096,0.0-3.0-0.3,102,1819,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Filtunamaybe.png', width=""300"", height=""194.5""></span></span>
                      <span><span><img src='stimuli\YadMordechai.png', width=""115.67164179104476"", height=""300""></span></span>
                      <span><span><img src='stimuli\ParaChocolate.png', width=""300"", height=""300""></span></span>
                    </p>",1,trinary,,target2,target1,distractor,stimuli\YadMordechai.png,stimuli\Filtunamaybe.png,stimuli\ParaChocolate.png,3,6,23,83.33333333,70,22.66666667,3,0,target2,FALSE
,,,,,html-keyboard-response,10,62498,0.0-3.0-1.3,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,11,65087,0.0-3.0-0.4,102,2583,"
                    <p class=""options"">
                      <span><span><img src='stimuli\ParaChocolate.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                      <span><span><img src='stimuli\YadMordechai.png', width=""115.67164179104476"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target2,target1,stimuli\YadMordechai.png,stimuli\Zippersmallbag.png,stimuli\ParaChocolate.png,3,8,23,83.33333333,63.33333333,22.66666667,5,0,distractor,FALSE
,,,,,html-keyboard-response,12,72717,0.0-3.0-1.4,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,13,73805,0.0-3.0-0.5,102,1082,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                      <span><span><img src='stimuli\Neviot.PNG', width=""133.2"", height=""300""></span></span>
                      <span><span><img src='stimuli\YadMordechai.png', width=""115.67164179104476"", height=""300""></span></span>
                    </p>",2,trinary,,target2,distractor,target1,stimuli\YadMordechai.png,stimuli\Zippersmallbag.png,stimuli\Neviot.PNG,3,8,15,83.33333333,63.33333333,45,5,0,distractor,FALSE
,,,,,html-keyboard-response,14,82499,0.0-3.0-1.5,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,15,83955,0.0-3.0-0.6,102,1449,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Oreo.PNG', width=""300"", height=""168.046875""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\KifKef.PNG', width=""238.02905874921038"", height=""300""></span></span>
                    </p>",3,trinary,,distractor,target2,target1,stimuli\KifKef.PNG,stimuli\Branflakesextra.png,stimuli\Oreo.PNG,1,10,11,90,60,60,9,0,target1,FALSE
,,,,,html-keyboard-response,16,92953,0.0-3.0-1.6,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,17,93834,0.0-3.0-0.7,102,877,"
                    <p class=""options"">
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                      <span><span><img src='stimuli\KifKef.PNG', width=""238.02905874921038"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                    </p>",2,trinary,,distractor,target1,target2,stimuli\KifKef.PNG,stimuli\Branflakesextra.png,stimuli\FuzeTea.png,1,10,19,90,60,30,9,0,target1,FALSE
,,,,,html-keyboard-response,18,103201,0.0-3.0-1.7,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,19,105495,0.0-3.0-0.8,102,2288,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                      <span><span><img src='stimuli\Oreo.PNG', width=""300"", height=""168.046875""></span></span>
                      <span><span><img src='stimuli\Branflakes.png', width=""219.87127916331454"", height=""300""></span></span>
                    </p>",1,trinary,,target1,distractor,target2,stimuli\Sano99.png,stimuli\Branflakes.png,stimuli\Oreo.PNG,2,9,11,86.66666667,62.66666667,60,7,0,target1,FALSE
,,,,,html-keyboard-response,20,113295,0.0-3.0-1.8,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,21,116992,0.0-3.0-0.9,102,3693,"
                    <p class=""options"">
                      <span><span><img src='stimuli\YadMordechai.png', width=""115.67164179104476"", height=""300""></span></span>
                      <span><span><img src='stimuli\Smarties.PNG', width=""300"", height=""102.57214554579673""></span></span>
                      <span><span><img src='stimuli\Filtunamaybe.png', width=""300"", height=""194.5""></span></span>
                    </p>",3,trinary,,target1,distractor,target2,stimuli\YadMordechai.png,stimuli\Filtunamaybe.png,stimuli\Smarties.PNG,3,6,31,83.33333333,70,0,3,0,target2,FALSE
,,,,,html-keyboard-response,22,123309,0.0-3.0-1.9,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
