TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Oreo.PNG,1,0,244.34978,245.38728,251.68678,6.332676,44,95,stimuli\Oreo.PNG,2,-6.19598,--,--,--
2,stimuli\Milka.PNG,1,1,251.7446,252.78725,262.40326,9.625766,64,94,stimuli\Milka.PNG,2,-9.521787,--,--,--
3,stimuli\Filtunamaybe.png,1,2,262.42908,263.45337,268.7363,5.298918,88,21,stimuli\Filtunamaybe.png,2,-5.0471425,--,--,--
4,stimuli\GelDeLin.png,1,3,268.76044,269.80307,270.91962,1.1450328,0,32,stimuli\GelDeLin.png,2,-1.1358391,--,--,--
5,stimuli\Fitnessmaybe.png,1,4,270.9396,271.9698,275.63547,3.6791725,72,28,stimuli\Fitnessmaybe.png,2,-3.331482,--,--,--
6,stimuli\Cafeelite.png,1,5,275.67862,276.71912,281.6856,4.975602,54,72,stimuli\Cafeelite.png,2,-4.5850306,--,--,--
7,stimuli\Sano99.png,1,6,281.70786,282.73584,286.7518,4.0366154,10,82,stimuli\Sano99.png,2,-3.8185887,--,--,--
8,stimuli\FuseTeaGreen.png,1,7,286.7757,287.81857,293.53464,5.740229,63,96,stimuli\FuseTeaGreen.png,2,-5.364455,--,--,--
9,stimuli\Zippersmallbag.png,1,8,293.58777,294.63525,297.15155,2.5282526,28,78,stimuli\Zippersmallbag.png,2,-2.1986766,--,--,--
10,stimuli\Branflakes.png,1,9,297.19797,298.2351,300.30154,2.1009872,75,66,stimuli\Branflakes.png,2,-1.9889947,--,--,--
11,stimuli\Barackemaybe.png,1,10,300.3238,301.36826,303.9181,2.580995,56,72,stimuli\Barackemaybe.png,2,-2.3812609,--,--,--
12,stimuli\Colgatemaybe.png,1,11,303.94162,304.96777,309.30093,4.3382998,48,60,stimuli\Colgatemaybe.png,2,-4.0635815,--,--,--
13,stimuli\Neviot.PNG,1,12,309.32324,310.3514,313.0175,2.664726,40,29,stimuli\Neviot.PNG,2,-2.3096411,--,--,--
14,stimuli\Tuna_ToGo.png,1,13,313.07477,314.11734,321.00037,6.889096,76,31,stimuli\Tuna_ToGo.png,2,-6.745575,--,--,--
15,stimuli\Zipperbigbag.png,1,14,321.02414,322.067,324.80038,2.7617624,8,8,stimuli\Zipperbigbag.png,2,-2.6401732,--,--,--
16,stimuli\Prince.PNG,1,15,324.85873,325.90012,330.83322,4.946152,26,36,stimuli\Prince.PNG,2,-4.807169,--,--,--
17,stimuli\Smarties.PNG,1,16,330.8721,331.91684,334.44974,2.5473225,16,7,stimuli\Smarties.PNG,2,-2.4517028,--,--,--
18,stimuli\Chocolatemilk.png,1,17,334.4756,335.49994,338.11652,2.6373444,52,74,stimuli\Chocolatemilk.png,2,-2.4756281,--,--,--
19,stimuli\Heinz.png,1,18,338.14813,339.18317,345.93253,6.7510138,48,89,stimuli\Heinz.png,2,-6.6208305,--,--,--
20,stimuli\Tapuchips.PNG,1,19,345.9706,346.99942,348.89865,1.9196697,32,32,stimuli\Tapuchips.PNG,2,-1.6551089,--,--,--
21,stimuli\FuzeTea.png,1,20,348.9219,349.9493,354.08258,4.155014,64,6,stimuli\FuzeTea.png,2,-3.815303,--,--,--
22,stimuli\KifKef.PNG,1,21,354.14575,355.18207,360.23187,5.0639424,28,21,stimuli\KifKef.PNG,2,-4.918591,--,--,--
23,stimuli\CocaCola2L.png,1,22,360.2559,361.2821,365.01514,3.7583835,70,11,stimuli\CocaCola2L.png,2,-3.443817,--,--,--
24,stimuli\Splendid.PNG,1,23,365.0371,366.08182,370.04816,3.9940455,76,13,stimuli\Splendid.PNG,2,-3.77319,--,--,--
25,stimuli\ParaChocolate.png,1,24,370.06924,371.11462,374.5974,3.5100138,50,18,stimuli\ParaChocolate.png,2,-3.3048062,--,--,--
26,stimuli\ChocolateSpread.png,1,25,374.62088,375.64774,377.43134,1.8074896,59,77,stimuli\ChocolateSpread.png,2,-1.7742691,--,--,--
27,stimuli\Wissotzky.png,1,26,377.4682,378.51428,379.9811,1.5031364,28,29,stimuli\Wissotzky.png,2,-1.3963265,--,--,--
28,stimuli\YadMordechai.png,1,27,380.00433,381.03113,383.61404,2.5844955,16,92,stimuli\YadMordechai.png,2,-2.3447962,--,--,--
29,stimuli\Kikkoman.png,1,28,383.63803,384.664,392.13034,7.466219,71,65,stimuli\Kikkoman.png,2,-7.1467075,--,--,--
30,stimuli\Branflakesextra.png,1,29,392.15323,393.18024,394.89728,1.7386723,73,60,stimuli\Branflakesextra.png,2,-1.5178063,--,--,--
31,stimuli\Fitness_Chocolate.png,1,30,394.95438,395.99716,398.06314,2.0988262,52,66,stimuli\Fitness_Chocolate.png,2,-2.0981958,--,--,--
32,stimuli\Quakermaybe.png,1,31,398.08658,399.11334,400.66364,1.5758414,84,84,stimuli\Quakermaybe.png,2,-1.2998469,104,23,Right
,,,,,,,,9,,,,,,,
,,,,,,,,85,,,,,,,
,,,,,,,,54,,,,,,,
,,,,,,,,51,,,,,,,
,,,,,,,,89,,,,,,,
,,,,,,,,18,,,,,,,
,,,,,,,,14,,,,,,,
,,,,,,,,36,,,,,,,
,,,,,,,,54,,,,,,,
,,,,,,,,48,,,,,,,
,,,,,,,,46,,,,,,,
,,,,,,,,33,,,,,,,
,,,,,,,,47,,,,,,,
,,,,,,,,30,,,,,,,
,,,,,,,,82,,,,,,,
,,,,,,,,8,,,,,,,
,,,,,,,,82,,,,,,,
,,,,,,,,82,,,,,,,
,,,,,,,,71,,,,,,,
,,,,,,,,42,,,,,,,
,,,,,,,,6,,,,,,,
,,,,,,,,35,,,,,,,
,,,,,,,,45,,,,,,,
,,,,,,,,51,,,,,,,
,,,,,,,,88,,,,,,,
,,,,,,,,4,,,,,,,
,,,,,,,,6,,,,,,,
,,,,,,,,94,,,,,,,
,,,,,,,,6,,,,,,,
,,,,,,,,59,,,,,,,
,,,,,,,,70,,,,,,,
,,,,,,,,42,,,,,,,
