success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,triad_index,one_key,two_key,three_key,target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank,actual_choice
TRUE,FALSE,[],[],[],preload,0,29,0.0-0.0,105,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,1,29780,0.0-1.0,105,29749,"<p style=""text-align: center;"">מיד מתחילים.</p>",5,scan_wait,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,2,31794,0.0-2.0,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,3,32956,0.0-3.0-0.0,105,1157,"
                    <p class=""options"">
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                    </p>",1,trinary,,target2,distractor,target1,stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\FuzeTea.png,3,9,11,74.33333333,70,70,6,0,target2
,,,,,html-keyboard-response,4,41679,0.0-3.0-1.0,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,5,42772,0.0-3.0-0.1,105,1087,"
                    <p class=""options"">
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                    </p>",3,trinary,,distractor,target2,target1,stimuli\Splendid.PNG,stimuli\GelDeLin.png,stimuli\FuzeTea.png,4,7,11,72.66666667,71,70,3,0,target1
,,,,,html-keyboard-response,6,51208,0.0-3.0-1.1,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,7,55213,0.0-3.0-0.2,105,null,,null,trinary,,,,,0,0,0,null,null,null,null,null,null,null,1,
,,,,,html-keyboard-response,8,61106,0.0-3.0-1.2,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,9,62236,0.0-3.0-0.3,105,1124,"
                    <p class=""options"">
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                      <span><span><img src='stimuli\Cafeelite.png', width=""250.68846815834766"", height=""300""></span></span>
                    </p>",1,trinary,,target2,target1,distractor,stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\Cafeelite.png,3,9,23,74.33333333,70,50,6,0,target2
,,,,,html-keyboard-response,10,70823,0.0-3.0-1.3,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,11,72119,0.0-3.0-0.4,105,1291,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Filtunamaybe.png', width=""300"", height=""194.5""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target2,target1,stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\Filtunamaybe.png,7,8,15,71,70,63.33333333,1,0,distractor
,,,,,html-keyboard-response,12,81067,0.0-3.0-1.4,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,13,82092,0.0-3.0-0.5,105,1021,"
                    <p class=""options"">
                      <span><span><img src='stimuli\ParaChocolate.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target1,target2,stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\ParaChocolate.png,2,9,27,78.33333333,70,40.33333333,7,0,distractor
,,,,,html-keyboard-response,14,91563,0.0-3.0-1.5,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,15,93071,0.0-3.0-0.6,105,1502,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Tapuchips.PNG', width=""229.65328467153284"", height=""300""></span></span>
                      <span><span><img src='stimuli\Quakermaybe.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Prince.PNG', width=""291.19638826185104"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target2,target1,stimuli\Prince.PNG,stimuli\Quakermaybe.png,stimuli\Tapuchips.PNG,1,6,31,85,71.66666667,35,5,0,distractor
,,,,,html-keyboard-response,16,101177,0.0-3.0-1.6,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,17,102859,0.0-3.0-0.7,105,1676,"
                    <p class=""options"">
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                    </p>",2,trinary,,target2,distractor,target1,stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\FuzeTea.png,2,9,11,78.33333333,70,70,7,0,distractor
,,,,,html-keyboard-response,18,111430,0.0-3.0-1.7,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
