target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank
stimuli\Prince.PNG,stimuli\FuseTeaGreen.png,stimuli\FuzeTea.png,1,10,11,85.0,70.0,70.0,9,0.0
stimuli\Prince.PNG,stimuli\FuseTeaGreen.png,stimuli\Filtunamaybe.png,1,10,15,85.0,70.0,63.333333333333336,9,0.0
stimuli\Prince.PNG,stimuli\FuseTeaGreen.png,stimuli\Barackemaybe.png,1,10,19,85.0,70.0,56.333333333333336,9,0.0
stimuli\Prince.PNG,stimuli\FuseTeaGreen.png,stimuli\Cafeelite.png,1,10,23,85.0,70.0,50.0,9,0.0
stimuli\Prince.PNG,stimuli\FuseTeaGreen.png,stimuli\ParaChocolate.png,1,10,27,85.0,70.0,40.333333333333336,9,0.0
stimuli\Prince.PNG,stimuli\FuseTeaGreen.png,stimuli\Tapuchips.PNG,1,10,31,85.0,70.0,35.0,9,0.0
stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\FuzeTea.png,2,9,11,78.33333333333333,70.0,70.0,7,0.0
stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\Filtunamaybe.png,2,9,15,78.33333333333333,70.0,63.333333333333336,7,0.0
stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\Barackemaybe.png,2,9,19,78.33333333333333,70.0,56.333333333333336,7,0.0
stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\Cafeelite.png,2,9,23,78.33333333333333,70.0,50.0,7,0.0
stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\ParaChocolate.png,2,9,27,78.33333333333333,70.0,40.333333333333336,7,0.0
stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\Tapuchips.PNG,2,9,31,78.33333333333333,70.0,35.0,7,0.0
stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\FuzeTea.png,3,9,11,74.33333333333333,70.0,70.0,6,0.0
stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\Filtunamaybe.png,3,9,15,74.33333333333333,70.0,63.333333333333336,6,0.0
stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\Barackemaybe.png,3,9,19,74.33333333333333,70.0,56.333333333333336,6,0.0
stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\Cafeelite.png,3,9,23,74.33333333333333,70.0,50.0,6,0.0
stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\ParaChocolate.png,3,9,27,74.33333333333333,70.0,40.333333333333336,6,0.0
stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\Tapuchips.PNG,3,9,31,74.33333333333333,70.0,35.0,6,0.0
stimuli\Prince.PNG,stimuli\Quakermaybe.png,stimuli\FuzeTea.png,1,6,11,85.0,71.66666666666667,70.0,5,0.0
stimuli\Prince.PNG,stimuli\Quakermaybe.png,stimuli\Filtunamaybe.png,1,6,15,85.0,71.66666666666667,63.333333333333336,5,0.0
stimuli\Prince.PNG,stimuli\Quakermaybe.png,stimuli\Barackemaybe.png,1,6,19,85.0,71.66666666666667,56.333333333333336,5,0.0
stimuli\Prince.PNG,stimuli\Quakermaybe.png,stimuli\Cafeelite.png,1,6,23,85.0,71.66666666666667,50.0,5,0.0
stimuli\Prince.PNG,stimuli\Quakermaybe.png,stimuli\ParaChocolate.png,1,6,27,85.0,71.66666666666667,40.333333333333336,5,0.0
stimuli\Prince.PNG,stimuli\Quakermaybe.png,stimuli\Tapuchips.PNG,1,6,31,85.0,71.66666666666667,35.0,5,0.0
stimuli\Splendid.PNG,stimuli\GelDeLin.png,stimuli\FuzeTea.png,4,7,11,72.66666666666667,71.0,70.0,3,0.0
stimuli\Splendid.PNG,stimuli\GelDeLin.png,stimuli\Filtunamaybe.png,4,7,15,72.66666666666667,71.0,63.333333333333336,3,0.0
stimuli\Splendid.PNG,stimuli\GelDeLin.png,stimuli\Barackemaybe.png,4,7,19,72.66666666666667,71.0,56.333333333333336,3,0.0
stimuli\Splendid.PNG,stimuli\GelDeLin.png,stimuli\Cafeelite.png,4,7,23,72.66666666666667,71.0,50.0,3,0.0
stimuli\Splendid.PNG,stimuli\GelDeLin.png,stimuli\ParaChocolate.png,4,7,27,72.66666666666667,71.0,40.333333333333336,3,0.0
stimuli\Splendid.PNG,stimuli\GelDeLin.png,stimuli\Tapuchips.PNG,4,7,31,72.66666666666667,71.0,35.0,3,0.0
stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\FuzeTea.png,7,8,11,71.0,70.0,70.0,1,0.0
stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\Filtunamaybe.png,7,8,15,71.0,70.0,63.333333333333336,1,0.0
stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\Barackemaybe.png,7,8,19,71.0,70.0,56.333333333333336,1,0.0
stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\Cafeelite.png,7,8,23,71.0,70.0,50.0,1,0.0
stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\ParaChocolate.png,7,8,27,71.0,70.0,40.333333333333336,1,0.0
stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\Tapuchips.PNG,7,8,31,71.0,70.0,35.0,1,0.0
0.0,0.0,0.0,,,,,,,,1.0
0.0,0.0,0.0,,,,,,,,1.0
0.0,0.0,0.0,,,,,,,,1.0
