TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time
1,stimuli\GelDeLin.png,1.0,0.0,0.5323193,1.5596868,2.428862,0.8968875,32.0,54.0,-0.20047419
2,stimuli\ChocolateSpread.png,1.0,1.0,2.4548821,3.467196,4.4688406,None,51.0,11.0,-0.63882446
3,stimuli\Parachocolate.PNG,1.0,2.0,4.508672,5.5188704,6.2740216,0.7568138999922667,12.0,3.0,-0.45589092
4,stimuli\Zipperbigbag.png,1.0,3.0,6.3184013,7.330137,8.012269,0.685054500005208,0.0,45.0,-0.10188163
5,stimuli\Tuna_ToGo.png,1.0,4.0,8.066967,9.077826,9.752009,0.6849876999913249,50.0,40.0,-0.17004335
6,stimuli\Quaker.PNG,1.0,5.0,9.808916,10.819851,11.80935,None,71.0,79.0,-0.53988445
7,stimuli\Cafeelite.png,1.0,6.0,11.846317,12.857851,13.412517,0.5568748000077903,59.0,69.0,0.012965235
8,stimuli\Kikkoman.PNG,1.0,7.0,13.460176,14.470819,15.235546,0.7754404000006616,35.0,32.0,-0.20568006
9,stimuli\Sano99.PNG,1.0,8.0,15.265583,16.276928,16.606085,0.33096250001108274,80.0,75.0,0.11189936
10,stimuli\YadMordechai.png,1.0,9.0,16.750677,17.76239,18.212135,0.4612839999899734,40.0,55.0,0.21255265
11,stimuli\KifKef.PNG,1.0,10.0,18.481024,19.491943,19.898966,0.4175659000175074,53.0,49.0,0.10867825
12,stimuli\Filtuna.png,1.0,11.0,20.054852,21.065508,21.771553,0.7083324000122957,1.0,2.0,-0.35241684
13,stimuli\Fitness.png,1.0,12.0,21.817307,22.827488,23.711834,0.8947716999973636,39.0,9.0,-0.27477723
14,stimuli\FuzeTeaGreen.png,1.0,13.0,23.745033,24.755293,25.75294,0.9982774999807589,28.0,37.0,-0.51383805
15,stimuli\Smarties.PNG,1.0,14.0,25.786213,26.79686,27.623737,0.8371339000004809,53.0,78.0,-0.25649738
16,stimuli\Zippersmallbag.png,1.0,15.0,27.668264,28.680254,29.680271,None,0.0,0.0,-0.6849548
17,stimuli\Branflakesextra.png,1.0,16.0,29.72006,30.731846,30.986067,0.2655786000250373,43.0,32.0,0.26819673
18,stimuli\Branflakes.png,1.0,17.0,31.294441,32.305862,32.589508,0.294772000022931,28.0,19.0,0.38258708
19,stimuli\Tapuchips.PNG,1.0,18.0,33.00608,34.017715,34.17784,0.17092679999768734,17.0,16.0,0.41837087
20,stimuli\Baracke.png,1.0,19.0,34.6338,35.644577,35.99992,0.36588149997987784,76.0,69.0,0.3157276
21,stimuli\Neviot.PNG,1.0,20.0,36.351788,37.362823,37.689423,0.3364642999949865,32.0,39.0,0.1492417
22,stimuli\HEINZ.PNG,1.0,21.0,37.86325,38.872936,39.142498,0.2712887999950908,54.0,53.0,0.24585035
23,stimuli\Chocolatemilk.png,1.0,22.0,39.426834,40.439877,40.815395,0.3877739000017755,67.0,77.0,0.2046034
24,stimuli\Prince.PNG,1.0,23.0,41.07094,42.082153,42.370014,0.2984320000105072,31.0,34.0,0.18222885
25,stimuli\FuzeTea.png,1.0,24.0,42.585613,43.597027,43.597565,0.011714499996742234,61.0,61.0,0.3140729
26,stimuli\Milka.PNG,1.0,25.0,43.955486,44.96664,45.21145,0.2559132000023965,46.0,43.0,0.087469175
27,stimuli\CocaCola2L.png,1.0,26.0,45.329063,46.339603,46.83325,0.5039471999916714,40.0,45.0,0.0077580563
28,stimuli\Colgate.png,1.0,27.0,46.877083,47.88681,48.238087,0.34462899999925867,78.0,78.0,0.33510157
29,stimuli\Oreo.PNG,1.0,28.0,48.609505,49.62033,49.962986,0.35343529999954626,15.0,22.0,0.085641466
30,stimuli\Fitness_Chocolate.png,1.0,29.0,50.09696,51.108685,51.7331,0.6255035000212956,40.0,55.0,-0.114797875
31,stimuli\Wissotzky.png,1.0,30.0,51.76775,52.77939,53.47468,0.7061316999897826,37.0,53.0,-0.2863884
32,stimuli\Splendid.PNG,1.0,31.0,53.491085,54.50062,55.10882,0.602007900015451,29.0,45.0,-0.1360201
