TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time
1,stimuli\Barackemaybe.png,1.0,0.0,1.7084044,2.751666,2.9987314,0.2877209,57.0,55.0,stimuli\Barackemaybe.png,1.0,-0.32084602
2,stimuli\Milka.PNG,1.0,1.0,3.0499797,4.0954046,4.6196785,0.5563828,80.0,5.0,stimuli\Milka.PNG,1.0,-0.27870753
3,stimuli\Quakermaybe.png,1.0,2.0,4.646576,5.6758485,6.580049,0.9304617,74.0,37.0,stimuli\Quakermaybe.png,1.0,-1.0277323
4,stimuli\KifKef.PNG,1.0,3.0,6.668278,7.7037654,8.067232,0.3966352,21.0,21.0,stimuli\KifKef.PNG,1.0,-0.2869091
5,stimuli\Wissotzky.png,1.0,4.0,8.105321,9.152029,9.15224,0.0437785,35.0,35.0,stimuli\Wissotzky.png,1.0,0.17908503
6,stimuli\GelDeLin.png,1.0,5.0,9.357382,10.3858795,10.864233,0.5056276,65.0,61.0,stimuli\GelDeLin.png,1.0,-0.53464603
7,stimuli\YadMordechai.png,1.0,6.0,10.89806,11.925541,12.689699,0.7894143,26.0,35.0,stimuli\YadMordechai.png,1.0,-0.7944828
8,stimuli\FuzeTea.png,1.0,7.0,12.716623,13.742652,14.183256,0.4664667,14.0,29.0,stimuli\FuzeTea.png,1.0,-0.4577509
9,stimuli\ChocolateSpread.png,1.0,8.0,14.207365,15.230539,15.27988,0.0712408,21.0,21.0,stimuli\ChocolateSpread.png,1.0,-0.059320975
10,stimuli\Fitness_Chocolate.png,1.0,9.0,15.342211,16.367617,16.413229,0.0686878,57.0,57.0,stimuli\Fitness_Chocolate.png,1.0,0.13821721
11,stimuli\Chocolatemilk.png,1.0,10.0,16.572062,17.598267,17.736921,0.1620086,29.0,29.0,stimuli\Chocolatemilk.png,1.0,-0.23562782
12,stimuli\Tuna_ToGo.png,1.0,11.0,17.801462,18.823704,20.713789,1.9105976,70.0,70.0,stimuli\Tuna_ToGo.png,1.0,-1.736151
13,stimuli\Cafeelite.png,1.0,12.0,20.763266,21.790953,22.314772,0.5502807,77.0,77.0,stimuli\Cafeelite.png,1.0,-0.63130796
14,stimuli\Branflakesextra.png,1.0,13.0,22.329422,23.355206,23.35544,0.0,49.0,49.0,stimuli\Branflakesextra.png,1.0,0.10394452
15,stimuli\Splendid.PNG,1.0,14.0,23.486261,24.514507,25.83555,1.3486563,56.0,56.0,stimuli\Splendid.PNG,1.0,-1.0872092
16,stimuli\Zippersmallbag.png,1.0,15.0,25.885307,26.91166,27.978088,1.0926708,31.0,31.0,stimuli\Zippersmallbag.png,1.0,-1.0909579
17,stimuli\Prince.PNG,1.0,16.0,28.031357,29.054375,30.072763,1.0391613,32.0,32.0,stimuli\Prince.PNG,1.0,-0.73989177
18,stimuli\Tapuchips.PNG,1.0,17.0,30.102718,31.128242,33.03897,1.9324082,26.0,26.0,stimuli\Tapuchips.PNG,1.0,-1.9417397
19,stimuli\Filtunamaybe.png,1.0,18.0,33.0645,34.087387,34.20202,0.1367104,72.0,72.0,stimuli\Filtunamaybe.png,1.0,-0.0056700166
20,stimuli\CocaCola2L.png,1.0,19.0,34.216595,35.24075,35.359005,0.1405322,58.0,58.0,stimuli\CocaCola2L.png,1.0,0.007185783
21,stimuli\Oreo.PNG,1.0,20.0,35.41067,36.43868,37.192665,0.7820291,63.0,63.0,stimuli\Oreo.PNG,1.0,-0.7398522
22,stimuli\ParaChocolate.png,1.0,21.0,37.20968,38.2354,38.23575,0.0,36.0,36.0,stimuli\ParaChocolate.png,1.0,-0.0579778
23,stimuli\Heinz.png,1.0,22.0,38.27439,39.311844,39.592434,0.3173911,79.0,79.0,stimuli\Heinz.png,1.0,-0.26032183
24,stimuli\Kikkoman.png,1.0,23.0,39.621223,40.64612,41.07336,0.4510642,50.0,50.0,stimuli\Kikkoman.png,1.0,-0.28001255
25,stimuli\Neviot.PNG,1.0,24.0,41.088146,42.111347,42.40536,0.3150649,34.0,34.0,stimuli\Neviot.PNG,1.0,-0.1561195
26,stimuli\Smarties.PNG,1.0,25.0,42.441746,43.46468,43.73094,0.287069,39.0,39.0,stimuli\Smarties.PNG,1.0,-0.009046403
27,stimuli\Colgatemaybe.png,1.0,26.0,43.746212,44.768307,44.912365,0.1647684,78.0,78.0,stimuli\Colgatemaybe.png,1.0,-0.02411568
28,stimuli\FuseTeaGreen.png,1.0,27.0,44.932686,45.954865,46.24959,0.3148803,35.0,35.0,stimuli\FuseTeaGreen.png,1.0,-0.35259578
29,stimuli\Zipperbigbag.png,1.0,28.0,46.27142,47.29342,47.433254,0.1581908,6.0,6.0,stimuli\Zipperbigbag.png,1.0,-0.085414305
30,stimuli\Fitnessmaybe.png,1.0,29.0,47.456406,48.478546,48.61322,0.1556366,22.0,22.0,stimuli\Fitnessmaybe.png,1.0,-0.10560448
31,stimuli\Sano99.png,1.0,30.0,48.62761,49.65045,49.766266,0.1367575,50.0,50.0,stimuli\Sano99.png,1.0,0.10569924
