TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time
1,stimuli\ChocolateSpread.png,1.0,0.0,44.042274,45.06448,45.41746,0.3721863,1.0,1.0,stimuli\ChocolateSpread.png,2.0,-0.19644926
2,stimuli\Cafeelite.png,1.0,1.0,45.45973,46.48231,46.888622,0.4269706,32.0,32.0,stimuli\Cafeelite.png,2.0,-0.4661979
3,stimuli\Tapuchips.PNG,1.0,2.0,46.927452,47.949158,48.146343,0.2175919,44.0,40.0,stimuli\Tapuchips.PNG,2.0,-0.31448597
4,stimuli\Zippersmallbag.png,1.0,3.0,48.197647,49.219875,49.416733,0.2173004,45.0,42.0,stimuli\Zippersmallbag.png,2.0,-0.17703415
5,stimuli\Heinz.png,1.0,4.0,49.448833,50.473633,50.67103,0.2208571,19.0,26.0,stimuli\Heinz.png,2.0,-0.121457994
6,stimuli\Zipperbigbag.png,1.0,5.0,50.691257,51.715023,51.868484,0.17475569,11.0,4.0,stimuli\Zipperbigbag.png,2.0,-0.1488346
7,stimuli\Fitness_Chocolate.png,1.0,6.0,51.92965,52.95225,52.998634,0.0670931,9.0,10.0,stimuli\Fitness_Chocolate.png,2.0,-0.0453856
8,stimuli\Tuna_ToGo.png,1.0,7.0,53.047817,54.07241,54.0974,0.047133,31.0,29.0,stimuli\Tuna_ToGo.png,2.0,0.048501
9,stimuli\Oreo.PNG,1.0,8.0,54.1846,55.20736,55.207794,0.0,3.0,3.0,stimuli\Oreo.PNG,2.0,0.016876962
10,stimuli\Branflakesextra.png,1.0,9.0,55.2594,56.28568,56.41653,0.1543842,57.0,61.0,stimuli\Branflakesextra.png,2.0,-0.24802978
11,stimuli\Prince.PNG,1.0,10.0,56.47479,57.49762,57.64992,0.1729588,27.0,27.0,stimuli\Prince.PNG,2.0,-0.1901989
12,stimuli\Wissotzky.png,1.0,11.0,57.694847,58.718296,58.782177,0.0855618,26.0,25.0,stimuli\Wissotzky.png,2.0,-0.16819221
13,stimuli\FuseTeaGreen.png,1.0,12.0,58.80078,59.82312,60.04099,0.2382251,39.0,30.0,stimuli\FuseTeaGreen.png,2.0,-0.3176124
14,stimuli\Sano99.png,1.0,13.0,60.068684,61.093426,61.22972,0.158917,50.0,39.0,stimuli\Sano99.png,2.0,0.010090499
15,stimuli\KifKef.PNG,1.0,14.0,61.309925,62.33237,62.377907,0.0664189,80.0,80.0,stimuli\KifKef.PNG,2.0,-0.1622995
16,stimuli\Milka.PNG,1.0,15.0,62.422024,63.446533,63.64574,0.2219602,14.0,21.0,stimuli\Milka.PNG,2.0,-0.0037917015
17,stimuli\Kikkoman.png,1.0,16.0,63.66664,64.69144,64.801834,0.132485,15.0,8.0,stimuli\Kikkoman.png,2.0,-0.13976857
18,stimuli\CocaCola2L.png,1.0,17.0,64.82002,65.842,65.954315,0.1328813,33.0,24.0,stimuli\CocaCola2L.png,2.0,-0.09197849
19,stimuli\Colgatemaybe.png,1.0,18.0,65.973404,66.99718,67.215034,0.2403873,53.0,63.0,stimuli\Colgatemaybe.png,2.0,-0.14025567
20,stimuli\Barackemaybe.png,1.0,19.0,67.24123,68.26246,68.31265,0.0696439,26.0,27.0,stimuli\Barackemaybe.png,2.0,-0.1320586
21,stimuli\Smarties.PNG,1.0,20.0,68.3429,69.36447,69.5967,0.2520246,21.0,21.0,stimuli\Smarties.PNG,2.0,-0.33037007
22,stimuli\Splendid.PNG,1.0,21.0,69.61713,70.63938,70.63965,0.0204605,18.0,18.0,stimuli\Splendid.PNG,2.0,-0.112608016
23,stimuli\Fitnessmaybe.png,1.0,22.0,70.66716,71.68928,71.75645,0.0878129,28.0,25.0,stimuli\Fitnessmaybe.png,2.0,-0.15395817
24,stimuli\Filtunamaybe.png,1.0,23.0,71.77576,72.79762,72.84261,0.0654884,37.0,37.0,stimuli\Filtunamaybe.png,2.0,0.13121402
25,stimuli\Quakermaybe.png,1.0,24.0,72.99315,74.01461,74.07847,0.084165,32.0,32.0,stimuli\Quakermaybe.png,2.0,0.042250507
26,stimuli\FuzeTea.png,1.0,25.0,74.14111,75.16339,75.20418,0.0620766,53.0,53.0,stimuli\FuzeTea.png,2.0,-0.04652391
27,stimuli\Chocolatemilk.png,1.0,26.0,75.23721,76.25988,76.408104,0.1684618,54.0,54.0,stimuli\Chocolatemilk.png,2.0,-0.016180968
28,stimuli\ParaChocolate.png,1.0,27.0,76.436066,77.45706,77.58499,0.147598,36.0,36.0,stimuli\ParaChocolate.png,2.0,0.071650855
29,stimuli\YadMordechai.png,1.0,28.0,77.67983,78.70226,78.702545,0.0,16.0,16.0,stimuli\YadMordechai.png,2.0,0.29702932
30,stimuli\Neviot.PNG,1.0,29.0,79.026436,80.04801,80.327415,0.2987752,19.0,19.0,stimuli\Neviot.PNG,2.0,-0.34396726
31,stimuli\GelDeLin.png,1.0,30.0,80.35081,81.372314,81.62422,0.272169,20.0,20.0,stimuli\GelDeLin.png,2.0,-0.249742
