target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff
stimuli\Colgatemaybe.png,stimuli\Milka.PNG,stimuli\FuseTeaGreen.png,0,9,10,65.5,45.75,45.5,9
stimuli\Colgatemaybe.png,stimuli\Milka.PNG,stimuli\Filtunamaybe.png,0,9,14,65.5,45.75,42.25,9
stimuli\Colgatemaybe.png,stimuli\Milka.PNG,stimuli\Smarties.PNG,0,9,18,65.5,45.75,35.25,9
stimuli\Colgatemaybe.png,stimuli\Milka.PNG,stimuli\Kikkoman.png,0,9,22,65.5,45.75,34.75,9
stimuli\Colgatemaybe.png,stimuli\Milka.PNG,stimuli\YadMordechai.png,0,9,26,65.5,45.75,30.0,9
stimuli\Colgatemaybe.png,stimuli\Milka.PNG,stimuli\Zipperbigbag.png,0,9,30,65.5,45.75,13.25,9
stimuli\Sano99.png,stimuli\Cafeelite.png,stimuli\FuseTeaGreen.png,1,8,10,56.0,48.0,45.5,7
stimuli\Sano99.png,stimuli\Cafeelite.png,stimuli\Filtunamaybe.png,1,8,14,56.0,48.0,42.25,7
stimuli\Sano99.png,stimuli\Cafeelite.png,stimuli\Smarties.PNG,1,8,18,56.0,48.0,35.25,7
stimuli\Sano99.png,stimuli\Cafeelite.png,stimuli\Kikkoman.png,1,8,22,56.0,48.0,34.75,7
stimuli\Sano99.png,stimuli\Cafeelite.png,stimuli\YadMordechai.png,1,8,26,56.0,48.0,30.0,7
stimuli\Sano99.png,stimuli\Cafeelite.png,stimuli\Zipperbigbag.png,1,8,30,56.0,48.0,13.25,7
stimuli\Heinz.png,stimuli\Cafeelite.png,stimuli\FuseTeaGreen.png,2,8,10,53.75,48.0,45.5,6
stimuli\Heinz.png,stimuli\Cafeelite.png,stimuli\Filtunamaybe.png,2,8,14,53.75,48.0,42.25,6
stimuli\Heinz.png,stimuli\Cafeelite.png,stimuli\Smarties.PNG,2,8,18,53.75,48.0,35.25,6
stimuli\Heinz.png,stimuli\Cafeelite.png,stimuli\Kikkoman.png,2,8,22,53.75,48.0,34.75,6
stimuli\Heinz.png,stimuli\Cafeelite.png,stimuli\YadMordechai.png,2,8,26,53.75,48.0,30.0,6
stimuli\Heinz.png,stimuli\Cafeelite.png,stimuli\Zipperbigbag.png,2,8,30,53.75,48.0,13.25,6
stimuli\Sano99.png,stimuli\Fitness_Chocolate.png,stimuli\FuseTeaGreen.png,1,6,10,56.0,50.25,45.5,5
stimuli\Sano99.png,stimuli\Fitness_Chocolate.png,stimuli\Filtunamaybe.png,1,6,14,56.0,50.25,42.25,5
stimuli\Sano99.png,stimuli\Fitness_Chocolate.png,stimuli\Smarties.PNG,1,6,18,56.0,50.25,35.25,5
stimuli\Sano99.png,stimuli\Fitness_Chocolate.png,stimuli\Kikkoman.png,1,6,22,56.0,50.25,34.75,5
stimuli\Sano99.png,stimuli\Fitness_Chocolate.png,stimuli\YadMordechai.png,1,6,26,56.0,50.25,30.0,5
stimuli\Sano99.png,stimuli\Fitness_Chocolate.png,stimuli\Zipperbigbag.png,1,6,30,56.0,50.25,13.25,5
stimuli\ParaChocolate.png,stimuli\CocaCola2L.png,stimuli\FuseTeaGreen.png,4,7,10,53.5,49.0,45.5,3
stimuli\ParaChocolate.png,stimuli\CocaCola2L.png,stimuli\Filtunamaybe.png,4,7,14,53.5,49.0,42.25,3
stimuli\ParaChocolate.png,stimuli\CocaCola2L.png,stimuli\Smarties.PNG,4,7,18,53.5,49.0,35.25,3
stimuli\ParaChocolate.png,stimuli\CocaCola2L.png,stimuli\Kikkoman.png,4,7,22,53.5,49.0,34.75,3
stimuli\ParaChocolate.png,stimuli\CocaCola2L.png,stimuli\YadMordechai.png,4,7,26,53.5,49.0,30.0,3
stimuli\ParaChocolate.png,stimuli\CocaCola2L.png,stimuli\Zipperbigbag.png,4,7,30,53.5,49.0,13.25,3
stimuli\KifKef.PNG,stimuli\Fitness_Chocolate.png,stimuli\FuseTeaGreen.png,5,6,10,52.75,50.25,45.5,1
stimuli\KifKef.PNG,stimuli\Fitness_Chocolate.png,stimuli\Filtunamaybe.png,5,6,14,52.75,50.25,42.25,1
stimuli\KifKef.PNG,stimuli\Fitness_Chocolate.png,stimuli\Smarties.PNG,5,6,18,52.75,50.25,35.25,1
stimuli\KifKef.PNG,stimuli\Fitness_Chocolate.png,stimuli\Kikkoman.png,5,6,22,52.75,50.25,34.75,1
stimuli\KifKef.PNG,stimuli\Fitness_Chocolate.png,stimuli\YadMordechai.png,5,6,26,52.75,50.25,30.0,1
stimuli\KifKef.PNG,stimuli\Fitness_Chocolate.png,stimuli\Zipperbigbag.png,5,6,30,52.75,50.25,13.25,1
