TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Prince.PNG,1.0,0.0,51.588722,52.59991,52.824326,0.2354568,59.0,54.0,stimuli\Prince.PNG,2.0,0.115338825,--,--,--
2,stimuli\ParaChocolate.png,1.0,1.0,52.959274,53.971367,54.278774,0.3112053,70.0,70.0,stimuli\ParaChocolate.png,2.0,-0.25706878,--,--,--
3,stimuli\FuseTeaGreen.png,1.0,2.0,54.299686,55.309856,55.56621,0.2665598,53.0,53.0,stimuli\FuseTeaGreen.png,2.0,-0.17597452,--,--,--
4,stimuli\Barackemaybe.png,1.0,3.0,55.588856,56.600166,56.919987,0.3228702,44.0,44.0,stimuli\Barackemaybe.png,2.0,-0.24142422,--,--,--
5,stimuli\Wissotzky.png,1.0,4.0,56.956135,57.96633,58.34096,0.3786696,29.0,31.0,stimuli\Wissotzky.png,2.0,-0.343703,--,--,--
6,stimuli\ChocolateSpread.png,1.0,5.0,58.362946,59.373898,59.762375,0.3995376,7.0,8.0,stimuli\ChocolateSpread.png,2.0,-0.32743144,--,--,--
7,stimuli\Cafeelite.png,1.0,6.0,59.800888,60.811413,60.882156,0.0736378,25.0,25.0,stimuli\Cafeelite.png,2.0,0.24015926,--,--,--
8,stimuli\YadMordechai.png,1.0,7.0,61.147846,62.159554,62.40322,0.2477999,77.0,77.0,stimuli\YadMordechai.png,2.0,0.11832174,--,--,--
9,stimuli\Smarties.PNG,1.0,8.0,62.557934,63.568737,63.658215,0.1002973,2.0,2.0,stimuli\Smarties.PNG,2.0,0.1330921,--,--,--
10,stimuli\Fitness_Chocolate.png,1.0,9.0,63.84573,64.85718,64.944916,0.0910321,76.0,76.0,stimuli\Fitness_Chocolate.png,2.0,-0.078951284,--,--,--
11,stimuli\Oreo.PNG,1.0,10.0,64.9814,65.99393,65.994026,0.0,32.0,32.0,stimuli\Oreo.PNG,2.0,0.28963342,--,--,--
12,stimuli\Colgatemaybe.png,1.0,11.0,66.3092,67.32159,67.321655,0.0,41.0,41.0,stimuli\Colgatemaybe.png,2.0,0.23288332,--,--,--
13,stimuli\CocaCola2L.png,1.0,12.0,67.57322,68.58392,69.091805,0.5185562,86.0,86.0,stimuli\CocaCola2L.png,2.0,-0.42231157,--,--,--
14,stimuli\Heinz.png,1.0,13.0,69.12118,70.13325,70.41228,0.2911994,91.0,91.0,stimuli\Heinz.png,2.0,0.0140468525,--,--,--
15,stimuli\Zipperbigbag.png,1.0,14.0,70.44911,71.4616,71.766426,0.3160835,55.0,55.0,stimuli\Zipperbigbag.png,2.0,-0.014358461,--,--,--
16,stimuli\Milka.PNG,1.0,15.0,71.81158,72.82419,73.00357,0.184313,24.0,24.0,stimuli\Milka.PNG,2.0,0.016302036,--,--,--
17,stimuli\Zippersmallbag.png,1.0,16.0,73.065834,74.07756,74.40778,0.342257,97.0,97.0,stimuli\Zippersmallbag.png,2.0,-0.31194928,--,--,--
18,stimuli\Tapuchips.PNG,1.0,17.0,74.44239,75.45309,75.71127,0.2614942,61.0,61.0,stimuli\Tapuchips.PNG,2.0,0.11788643,--,--,--
19,stimuli\Sano99.png,1.0,18.0,75.85075,76.863144,76.8635,0.0,35.0,35.0,stimuli\Sano99.png,2.0,0.23776808,--,--,--
20,stimuli\Fitnessmaybe.png,1.0,19.0,77.12295,78.1353,78.17002,0.0467803,28.0,28.0,stimuli\Fitnessmaybe.png,2.0,0.16178358,--,--,--
21,stimuli\Quakermaybe.png,1.0,20.0,78.35371,79.366646,79.69108,0.336406,37.0,37.0,stimuli\Quakermaybe.png,2.0,-0.14233464,--,--,--
22,stimuli\Kikkoman.png,1.0,21.0,79.71363,80.72805,80.94511,0.2316619,1.0,1.0,stimuli\Kikkoman.png,2.0,-0.15211473,--,--,--
23,stimuli\Tuna_ToGo.png,1.0,22.0,80.99554,82.00648,82.41532,0.4131246,38.0,38.0,stimuli\Tuna_ToGo.png,2.0,-0.14332148,--,--,--
24,stimuli\GelDeLin.png,1.0,23.0,82.43909,83.451904,83.85402,0.4070535,76.0,76.0,stimuli\GelDeLin.png,2.0,-0.043713883,--,--,--
25,stimuli\Branflakesextra.png,1.0,24.0,83.87583,84.88704,85.4591,0.5743265,28.0,28.0,stimuli\Branflakesextra.png,2.0,-0.44464028,--,--,--
26,stimuli\FuzeTea.png,1.0,25.0,85.4806,86.49071,87.11434,0.6340025,49.0,49.0,stimuli\FuzeTea.png,2.0,-0.5980286,--,--,--
27,stimuli\KifKef.PNG,1.0,26.0,87.167076,88.178024,88.619125,0.4521002,0.0,0.0,stimuli\KifKef.PNG,2.0,-0.11931335,--,--,--
28,stimuli\Filtunamaybe.png,1.0,27.0,88.64147,89.65355,90.1739,0.5326408,74.0,74.0,stimuli\Filtunamaybe.png,2.0,-0.1896012,--,--,--
29,stimuli\Chocolatemilk.png,1.0,28.0,90.197044,91.20895,91.81177,0.6066075,72.0,72.0,stimuli\Chocolatemilk.png,2.0,-0.43616882,--,--,--
30,stimuli\Splendid.PNG,1.0,29.0,91.83297,92.84356,93.14937,0.2997406,12.0,12.0,stimuli\Splendid.PNG,2.0,0.058603633,--,--,--
31,stimuli\Neviot.PNG,1.0,30.0,93.2302,94.24352,94.50384,0.2728432,38.0,38.0,stimuli\Neviot.PNG,2.0,0.09521778,543,22,Right
