target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff
stimuli\Tapuchips.PNG,stimuli\Oreo.PNG,stimuli\Cafeelite.png,0,9,10,80.0,56.5,56.5,9
stimuli\Tapuchips.PNG,stimuli\Oreo.PNG,stimuli\Zipperbigbag.png,0,9,14,80.0,56.5,47.5,9
stimuli\Tapuchips.PNG,stimuli\Oreo.PNG,stimuli\Tuna_ToGo.png,0,9,18,80.0,56.5,33.0,9
stimuli\Tapuchips.PNG,stimuli\Oreo.PNG,stimuli\Barackemaybe.png,0,9,22,80.0,56.5,26.0,9
stimuli\Tapuchips.PNG,stimuli\Oreo.PNG,stimuli\Smarties.PNG,0,9,26,80.0,56.5,18.0,9
stimuli\Tapuchips.PNG,stimuli\Oreo.PNG,stimuli\Kikkoman.png,0,9,30,80.0,56.5,0.5,9
stimuli\Heinz.png,stimuli\CocaCola2L.png,stimuli\Cafeelite.png,1,8,10,73.0,60.5,56.5,7
stimuli\Heinz.png,stimuli\CocaCola2L.png,stimuli\Zipperbigbag.png,1,8,14,73.0,60.5,47.5,7
stimuli\Heinz.png,stimuli\CocaCola2L.png,stimuli\Tuna_ToGo.png,1,8,18,73.0,60.5,33.0,7
stimuli\Heinz.png,stimuli\CocaCola2L.png,stimuli\Barackemaybe.png,1,8,22,73.0,60.5,26.0,7
stimuli\Heinz.png,stimuli\CocaCola2L.png,stimuli\Smarties.PNG,1,8,26,73.0,60.5,18.0,7
stimuli\Heinz.png,stimuli\CocaCola2L.png,stimuli\Kikkoman.png,1,8,30,73.0,60.5,0.5,7
stimuli\Tapuchips.PNG,stimuli\YadMordechai.png,stimuli\Cafeelite.png,0,6,10,80.0,65.5,56.5,6
stimuli\Tapuchips.PNG,stimuli\YadMordechai.png,stimuli\Zipperbigbag.png,0,6,14,80.0,65.5,47.5,6
stimuli\Tapuchips.PNG,stimuli\YadMordechai.png,stimuli\Tuna_ToGo.png,0,6,18,80.0,65.5,33.0,6
stimuli\Tapuchips.PNG,stimuli\YadMordechai.png,stimuli\Barackemaybe.png,0,6,22,80.0,65.5,26.0,6
stimuli\Tapuchips.PNG,stimuli\YadMordechai.png,stimuli\Smarties.PNG,0,6,26,80.0,65.5,18.0,6
stimuli\Tapuchips.PNG,stimuli\YadMordechai.png,stimuli\Kikkoman.png,0,6,30,80.0,65.5,0.5,6
stimuli\Zippersmallbag.png,stimuli\Neviot.PNG,stimuli\Cafeelite.png,2,7,10,72.5,63.0,56.5,5
stimuli\Zippersmallbag.png,stimuli\Neviot.PNG,stimuli\Zipperbigbag.png,2,7,14,72.5,63.0,47.5,5
stimuli\Zippersmallbag.png,stimuli\Neviot.PNG,stimuli\Tuna_ToGo.png,2,7,18,72.5,63.0,33.0,5
stimuli\Zippersmallbag.png,stimuli\Neviot.PNG,stimuli\Barackemaybe.png,2,7,22,72.5,63.0,26.0,5
stimuli\Zippersmallbag.png,stimuli\Neviot.PNG,stimuli\Smarties.PNG,2,7,26,72.5,63.0,18.0,5
stimuli\Zippersmallbag.png,stimuli\Neviot.PNG,stimuli\Kikkoman.png,2,7,30,72.5,63.0,0.5,5
stimuli\Prince.PNG,stimuli\Neviot.PNG,stimuli\Cafeelite.png,4,7,10,70.0,63.0,56.5,3
stimuli\Prince.PNG,stimuli\Neviot.PNG,stimuli\Zipperbigbag.png,4,7,14,70.0,63.0,47.5,3
stimuli\Prince.PNG,stimuli\Neviot.PNG,stimuli\Tuna_ToGo.png,4,7,18,70.0,63.0,33.0,3
stimuli\Prince.PNG,stimuli\Neviot.PNG,stimuli\Barackemaybe.png,4,7,22,70.0,63.0,26.0,3
stimuli\Prince.PNG,stimuli\Neviot.PNG,stimuli\Smarties.PNG,4,7,26,70.0,63.0,18.0,3
stimuli\Prince.PNG,stimuli\Neviot.PNG,stimuli\Kikkoman.png,4,7,30,70.0,63.0,0.5,3
stimuli\Zippersmallbag.png,stimuli\FuseTeaGreen.png,stimuli\Cafeelite.png,2,3,10,72.5,70.5,56.5,1
stimuli\Zippersmallbag.png,stimuli\FuseTeaGreen.png,stimuli\Zipperbigbag.png,2,3,14,72.5,70.5,47.5,1
stimuli\Zippersmallbag.png,stimuli\FuseTeaGreen.png,stimuli\Tuna_ToGo.png,2,3,18,72.5,70.5,33.0,1
stimuli\Zippersmallbag.png,stimuli\FuseTeaGreen.png,stimuli\Barackemaybe.png,2,3,22,72.5,70.5,26.0,1
stimuli\Zippersmallbag.png,stimuli\FuseTeaGreen.png,stimuli\Smarties.PNG,2,3,26,72.5,70.5,18.0,1
stimuli\Zippersmallbag.png,stimuli\FuseTeaGreen.png,stimuli\Kikkoman.png,2,3,30,72.5,70.5,0.5,1
