TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time
1,stimuli\YadMordechai.png,1.0,0.0,46.82738,47.838516,48.489433,0.6622452,41.0,62.0,stimuli\YadMordechai.png,2.0,-0.33798638
2,stimuli\FuzeTea.png,1.0,1.0,48.509933,49.52267,49.594486,0.0831243,76.0,59.0,stimuli\FuzeTea.png,2.0,0.014169149
3,stimuli\Quakermaybe.png,1.0,2.0,49.629517,50.642403,51.80055,1.1704429,62.0,67.0,stimuli\Quakermaybe.png,2.0,-1.0011022
4,stimuli\Heinz.png,1.0,3.0,51.827785,52.839718,53.22065,0.392022,40.0,49.0,stimuli\Heinz.png,2.0,-0.20120937
5,stimuli\Fitness_Chocolate.png,1.0,4.0,53.27023,54.282127,54.724636,0.4446098,10.0,10.0,stimuli\Fitness_Chocolate.png,2.0,-0.34605357
6,stimuli\CocaCola2L.png,1.0,5.0,54.74646,55.75862,56.080276,0.3335141,18.0,12.0,stimuli\CocaCola2L.png,2.0,-0.100127086
7,stimuli\Wissotzky.png,1.0,6.0,56.113476,57.12509,57.43339,0.3158282,2.0,6.0,stimuli\Wissotzky.png,2.0,-0.113492966
8,stimuli\ParaChocolate.png,1.0,7.0,57.45299,58.46516,58.72058,0.267197,43.0,38.0,stimuli\ParaChocolate.png,2.0,-0.17043112
9,stimuli\Kikkoman.png,1.0,8.0,58.74465,59.755604,60.225796,0.4815457,34.0,39.0,stimuli\Kikkoman.png,2.0,-0.38617927
10,stimuli\Splendid.PNG,1.0,9.0,60.246395,61.25676,61.547005,0.2978,22.0,22.0,stimuli\Splendid.PNG,2.0,-0.2397042
11,stimuli\ChocolateSpread.png,1.0,10.0,61.567944,62.578953,62.90107,0.3326238,86.0,91.0,stimuli\ChocolateSpread.png,2.0,-0.17101757
12,stimuli\Tuna_ToGo.png,1.0,11.0,62.949566,63.962303,64.238754,0.2786912,88.0,84.0,stimuli\Tuna_ToGo.png,2.0,-0.23102973
13,stimuli\Oreo.PNG,1.0,12.0,64.27398,65.28544,65.55854,0.2765146,90.0,92.0,stimuli\Oreo.PNG,2.0,0.09177871
14,stimuli\Neviot.PNG,1.0,13.0,65.671776,66.685455,66.979996,0.2996921,5.0,0.0,stimuli\Neviot.PNG,2.0,0.003582007
15,stimuli\Filtunamaybe.png,1.0,14.0,67.00599,68.017166,68.46839,0.4626071,56.0,56.0,stimuli\Filtunamaybe.png,2.0,-0.28327605
16,stimuli\Smarties.PNG,1.0,15.0,68.502365,69.51294,70.32351,0.8214686,23.0,23.0,stimuli\Smarties.PNG,2.0,-0.5639286
17,stimuli\Fitnessmaybe.png,1.0,16.0,70.34289,71.35325,71.61089,0.2684369,82.0,82.0,stimuli\Fitnessmaybe.png,2.0,-0.2021651
18,stimuli\Branflakesextra.png,1.0,17.0,71.63205,72.644104,72.680695,0.043445,88.0,88.0,stimuli\Branflakesextra.png,2.0,0.06659752
19,stimuli\Colgatemaybe.png,1.0,18.0,72.76807,73.778435,73.77875,0.0101142,59.0,59.0,stimuli\Colgatemaybe.png,2.0,0.26556584
20,stimuli\Zipperbigbag.png,1.0,19.0,74.05451,75.06482,75.38935,0.3347721,36.0,36.0,stimuli\Zipperbigbag.png,2.0,-0.25103214
21,stimuli\Milka.PNG,1.0,20.0,75.43929,76.45391,77.061066,0.6162609,24.0,23.0,stimuli\Milka.PNG,2.0,-0.4631173
22,stimuli\Cafeelite.png,1.0,21.0,77.099945,78.11299,78.34882,0.2477763,12.0,12.0,stimuli\Cafeelite.png,2.0,0.13688937
23,stimuli\Zippersmallbag.png,1.0,22.0,78.53198,79.54385,79.77013,0.2383677,82.0,76.0,stimuli\Zippersmallbag.png,2.0,0.003423682
24,stimuli\FuseTeaGreen.png,1.0,23.0,79.79322,80.804375,81.073364,0.2644642,40.0,44.0,stimuli\FuseTeaGreen.png,2.0,-0.00787901
25,stimuli\Sano99.png,1.0,24.0,81.09477,82.10595,82.42821,0.3243846,66.0,66.0,stimuli\Sano99.png,2.0,-0.07823703
26,stimuli\KifKef.PNG,1.0,25.0,82.481766,83.49237,83.6835,0.2017418,6.0,6.0,stimuli\KifKef.PNG,2.0,0.033166878
27,stimuli\Tapuchips.PNG,1.0,26.0,83.749115,84.7604,84.852,0.0948565,13.0,13.0,stimuli\Tapuchips.PNG,2.0,0.03549968
28,stimuli\GelDeLin.png,1.0,27.0,84.90887,85.92016,85.938835,0.0298959,12.0,12.0,stimuli\GelDeLin.png,2.0,-0.016881928
29,stimuli\Barackemaybe.png,1.0,28.0,85.95904,86.96929,87.12719,0.1680366,81.0,81.0,stimuli\Barackemaybe.png,2.0,-0.07470898
30,stimuli\Prince.PNG,1.0,29.0,87.17564,88.18729,88.18741,0.0,55.0,55.0,stimuli\Prince.PNG,2.0,0.31658524
31,stimuli\Chocolatemilk.png,1.0,30.0,88.51939,89.53225,89.583435,0.0546476,64.0,64.0,stimuli\Chocolatemilk.png,2.0,-0.035291724
