target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff
stimuli\ChocolateSpread.png,stimuli\Colgatemaybe.png,stimuli\Oreo.PNG,0,9,10,83.0,58.5,57.0,9
stimuli\ChocolateSpread.png,stimuli\Colgatemaybe.png,stimuli\ParaChocolate.png,0,9,14,83.0,58.5,49.5,9
stimuli\ChocolateSpread.png,stimuli\Colgatemaybe.png,stimuli\Zippersmallbag.png,0,9,18,83.0,58.5,41.0,9
stimuli\ChocolateSpread.png,stimuli\Colgatemaybe.png,stimuli\Kikkoman.png,0,9,22,83.0,58.5,35.5,9
stimuli\ChocolateSpread.png,stimuli\Colgatemaybe.png,stimuli\Tapuchips.PNG,0,9,26,83.0,58.5,25.5,9
stimuli\ChocolateSpread.png,stimuli\Colgatemaybe.png,stimuli\Neviot.PNG,0,9,30,83.0,58.5,2.5,9
stimuli\Sano99.png,stimuli\Fitnessmaybe.png,stimuli\Oreo.PNG,1,8,10,81.0,59.0,57.0,7
stimuli\Sano99.png,stimuli\Fitnessmaybe.png,stimuli\ParaChocolate.png,1,8,14,81.0,59.0,49.5,7
stimuli\Sano99.png,stimuli\Fitnessmaybe.png,stimuli\Zippersmallbag.png,1,8,18,81.0,59.0,41.0,7
stimuli\Sano99.png,stimuli\Fitnessmaybe.png,stimuli\Kikkoman.png,1,8,22,81.0,59.0,35.5,7
stimuli\Sano99.png,stimuli\Fitnessmaybe.png,stimuli\Tapuchips.PNG,1,8,26,81.0,59.0,25.5,7
stimuli\Sano99.png,stimuli\Fitnessmaybe.png,stimuli\Neviot.PNG,1,8,30,81.0,59.0,2.5,7
stimuli\Barackemaybe.png,stimuli\Colgatemaybe.png,stimuli\Oreo.PNG,3,9,10,74.0,58.5,57.0,6
stimuli\Barackemaybe.png,stimuli\Colgatemaybe.png,stimuli\ParaChocolate.png,3,9,14,74.0,58.5,49.5,6
stimuli\Barackemaybe.png,stimuli\Colgatemaybe.png,stimuli\Zippersmallbag.png,3,9,18,74.0,58.5,41.0,6
stimuli\Barackemaybe.png,stimuli\Colgatemaybe.png,stimuli\Kikkoman.png,3,9,22,74.0,58.5,35.5,6
stimuli\Barackemaybe.png,stimuli\Colgatemaybe.png,stimuli\Tapuchips.PNG,3,9,26,74.0,58.5,25.5,6
stimuli\Barackemaybe.png,stimuli\Colgatemaybe.png,stimuli\Neviot.PNG,3,9,30,74.0,58.5,2.5,6
stimuli\FuzeTea.png,stimuli\Milka.PNG,stimuli\Oreo.PNG,2,7,10,76.0,59.5,57.0,5
stimuli\FuzeTea.png,stimuli\Milka.PNG,stimuli\ParaChocolate.png,2,7,14,76.0,59.5,49.5,5
stimuli\FuzeTea.png,stimuli\Milka.PNG,stimuli\Zippersmallbag.png,2,7,18,76.0,59.5,41.0,5
stimuli\FuzeTea.png,stimuli\Milka.PNG,stimuli\Kikkoman.png,2,7,22,76.0,59.5,35.5,5
stimuli\FuzeTea.png,stimuli\Milka.PNG,stimuli\Tapuchips.PNG,2,7,26,76.0,59.5,25.5,5
stimuli\FuzeTea.png,stimuli\Milka.PNG,stimuli\Neviot.PNG,2,7,30,76.0,59.5,2.5,5
stimuli\Sano99.png,stimuli\FuseTeaGreen.png,stimuli\Oreo.PNG,1,4,10,81.0,70.0,57.0,3
stimuli\Sano99.png,stimuli\FuseTeaGreen.png,stimuli\ParaChocolate.png,1,4,14,81.0,70.0,49.5,3
stimuli\Sano99.png,stimuli\FuseTeaGreen.png,stimuli\Zippersmallbag.png,1,4,18,81.0,70.0,41.0,3
stimuli\Sano99.png,stimuli\FuseTeaGreen.png,stimuli\Kikkoman.png,1,4,22,81.0,70.0,35.5,3
stimuli\Sano99.png,stimuli\FuseTeaGreen.png,stimuli\Tapuchips.PNG,1,4,26,81.0,70.0,25.5,3
stimuli\Sano99.png,stimuli\FuseTeaGreen.png,stimuli\Neviot.PNG,1,4,30,81.0,70.0,2.5,3
stimuli\Branflakesextra.png,stimuli\Chocolatemilk.png,stimuli\Oreo.PNG,5,6,10,65.5,63.0,57.0,1
stimuli\Branflakesextra.png,stimuli\Chocolatemilk.png,stimuli\ParaChocolate.png,5,6,14,65.5,63.0,49.5,1
stimuli\Branflakesextra.png,stimuli\Chocolatemilk.png,stimuli\Zippersmallbag.png,5,6,18,65.5,63.0,41.0,1
stimuli\Branflakesextra.png,stimuli\Chocolatemilk.png,stimuli\Kikkoman.png,5,6,22,65.5,63.0,35.5,1
stimuli\Branflakesextra.png,stimuli\Chocolatemilk.png,stimuli\Tapuchips.PNG,5,6,26,65.5,63.0,25.5,1
stimuli\Branflakesextra.png,stimuli\Chocolatemilk.png,stimuli\Neviot.PNG,5,6,30,65.5,63.0,2.5,1
