stimulus_id,ev_num_run4,ev_num_run2,ev_num_run1,ev_num_run3
1,12,33,18,25
2,36,11,24,21
3,13,28,8,17
4,11,4,13,32
5,9,19,6,29
6,20,34,31,13
7,22,10,28,10
8,33,22,23,9
9,32,24,12,24
10,16,23,19,14
11,35,13,11,37
12,27,21,26,36
13,30,2,22,18
14,7,17,4,23
15,8,27,16,2
16,15,14,21,3
17,3,16,3,35
18,6,26,37,22
19,37,8,32,28
20,18,20,27,15
21,5,12,2,4
22,29,29,17,33
23,23,9,15,5
24,34,1,35,30
25,21,32,10,11
26,1,30,5,27
27,24,31,36,12
28,19,6,9,1
29,26,37,25,26
30,25,15,29,16
31,4,7,1,20
32,17,3,14,6
33,31,18,34,31
34,14,25,30,8
35,10,36,20,19
36,28,35,33,34
37,2,5,7,7
